Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Jamilu Collins;D/WB (L);31;Not for Sale;3. Liga;Germany;4,1;13,8;25%;0,0;0%;0;0,0;1,0;0,1;86%;12,6;0;2,3;8,4;2,7;2,5;0,3;0,1;0;60,3;7,9;17,9;1,1;0,4;36;0,3;0,3;0,2;0,6;0,0;12,5;0,0;2,7;0,1;2,3;1,4;0,1;3,0;11;0,1;54;-0.28;45;0,0;0;1304
Jeremy Arévalo;AM (C), ST (C);20;450K € - 4,6M €;3. Liga;Germany;0,8;1,8;71%;0,0;17%;0;0,0;0,9;0,2;91%;7,1;0;0,2;1,0;0,2;0,1;0,7;1,3;0;39,9;1,3;8,8;0,9;1,3;1;0,4;1,8;0,1;0,1;0,3;11,3;0,3;4,9;0,1;1,8;1,3;0,1;1,8;20;0,1;27;0.38;2;0,3;0;1222
Simon Straudi;D/WB (R), M (RC);26;160K € - 475K €;3. Liga;Germany;3,7;12,1;27%;0,1;0%;0;0,0;1,7;0,3;85%;15,3;0;1,2;6,2;2,1;1,6;0,7;0,2;0;61,8;7,1;23,1;1,7;2,0;27;1,5;0,9;0,3;0,7;0,0;13,0;0,0;4,6;0,1;5,9;2,8;0,2;5,9;25;0,4;61;-0.61;36;0,0;0;1544
Dennis Dressel;DM, M (C);27;450K € - 1,5M €;3. Liga;Germany;3,1;9,5;41%;0,0;5%;0;0,0;0,7;0,1;91%;5,1;0;0,5;7,2;1,9;0,8;0,9;0,4;0;52,3;5,0;13,0;0,7;0,3;16;0,0;1,1;0,5;0,7;0,0;12,4;0,0;3,6;0,0;0,0;1,8;0,1;0,2;0;0,5;50;0.04;23;0,0;0;1874
Jonas David;D (C), DM;25;130K € - 1,3M €;3. Liga;Germany;4,0;10,3;40%;0,1;0%;0;0,0;0,4;0,1;91%;4,0;0;1,1;1,9;0,4;0,3;0,1;0,1;0;37,8;1,9;5,1;0,4;0,1;6;0,0;0,3;0,7;0,8;0,0;10,1;0,0;6,9;0,0;0,1;5,0;0,0;0,1;0;1,2;73;-0.28;7;0,0;0;1620
Manuel Polster;WB/M/AM (L), ST (C);23;18K € - 190K €;3. Liga;Germany;3,4;11,3;46%;0,0;5%;0;0,0;1,7;0,8;81%;16,7;0;0,9;9,1;2,3;1,7;1,4;1,1;0;37,9;3,0;25,2;1,7;4,5;29;1,1;2,5;0,2;0,6;0,1;13,1;0,2;5,9;0,3;7,8;4,1;0,2;7,8;14;0,4;69;-0.55;38;0,2;0;1501
Adrien Lebeau;AM (LC), ST (C);26;400K € - 1,2M €;3. Liga;Germany;1,4;4,1;46%;0,1;11%;0;0,0;1,9;0,7;87%;10,9;0;0,5;4,8;1,3;0,5;1,0;0,8;0;42,4;3,0;11,4;2,5;2,3;8;0,8;1,8;0,2;0,2;0,2;12,4;0,1;5,0;0,3;1,7;0,3;0,3;4,6;25;0,0;6;-0.09;14;0,2;0;1399
Erik Engelhardt;AM (LC), ST (C);27;275K € - 2,8M €;3. Liga;Germany;1,5;4,2;58%;0,0;19%;0;0,0;1,2;0,7;89%;9,4;0;0,7;3,7;1,0;0,6;0,5;1,5;0;43,6;1,3;18,0;1,2;1,4;12;0,5;2,6;0,1;0,1;0,5;13,1;0,4;10,9;0,3;1,5;4,3;0,4;1,5;34;0,1;39;1.57;20;0,4;0;1794
Marco Schuster;D (RC), DM, M (C);30;160K € - 1,6M €;3. Liga;Germany;2,4;9,5;26%;0,1;0%;0;0,0;1,0;0,2;90%;7,3;0;1,3;7,9;2,4;1,9;1,3;0,4;0;59,3;6,2;17,6;1,2;0,1;29;0,1;1,5;0,1;0,5;0,0;12,4;0,0;2,8;0,1;0,2;1,5;0,1;1,2;16;0,1;51;-0.48;36;0,0;0;1360
Calogero Rizzuto;D/WB/M (RL);33;7K € - 70K €;3. Liga;Germany;3,8;13,1;20%;0,1;0%;0;0,0;1,3;0,3;88%;12,1;0;0,7;7,7;2,1;2,0;0,8;0,2;0;61,0;9,9;17,8;1,3;1,1;38;0,6;0,8;0,3;0,4;0,0;12,8;0,0;4,6;0,1;4,5;2,5;0,1;4,5;14;0,2;53;-0.47;48;0,0;0;1680
Patrick Sontheimer;DM, M/AM (C);27;190K € - 1,9M €;3. Liga;Germany;2,4;8,5;57%;0,0;7%;0;0,0;0,9;0,1;91%;5,9;0;0,8;6,9;1,5;1,1;1,0;0,6;0;56,2;5,8;13,3;1,1;0,5;14;0,0;1,1;0,2;0,2;0,1;12,3;0,0;1,5;0,1;0,1;0,3;0,1;0,3;50;0,0;21;0.72;18;0,0;0;1179
Berkan Taz;AM (C), ST (C);27;26K € - 250K €;3. Liga;Germany;1,0;4,8;52%;0,0;9%;0;0,0;1,7;0,3;89%;8,5;0;0,5;4,4;1,1;0,4;0,4;0,6;0;47,7;4,6;11,9;1,8;0,9;8;0,2;1,2;0,2;0,2;0,1;12,6;0,1;2,7;0,2;0,9;0,7;0,2;1,9;8;0,1;27;-0.74;18;0,1;0;1735
Max Besuschkow;DM, M/AM (C);28;65K € - 650K €;3. Liga;Germany;2,6;6,5;46%;0,0;8%;0;0,0;1,5;0,3;88%;9,5;0;0,5;5,8;1,3;0,7;0,5;0,4;0;63,8;5,6;11,1;1,7;0,5;11;0,1;0,9;0,1;0,3;0,1;12,1;0,1;2,3;0,1;0,5;0,9;0,1;1,0;26;0,1;38;0.22;21;0,1;0;1341
Florian Pick;AM (RLC), ST (C);30;28K € - 275K €;3. Liga;Germany;2,1;7,0;36%;0,1;6%;0;0,0;1,9;0,6;86%;16,3;0;1,2;12,9;2,7;1,7;1,5;0,9;0;48,2;4,5;19,2;2,1;6,4;32;1,3;2,5;0,2;0,4;0,2;13,0;0,2;4,0;0,2;5,4;0,8;0,1;6,4;22;0,0;20;-0.93;44;0,2;0;1675
Jannik Müller;D (C), DM;31;Not for Sale;3. Liga;Germany;3,4;12,7;50%;0,2;0%;0;0,0;0,4;0,1;82%;9,5;0;2,0;4,1;1,1;1,1;0,1;0,1;0;54,0;4,5;8,1;0,4;0,1;20;0,0;0,2;0,5;1,0;0,0;10,7;0,0;5,5;0,0;0,0;4,2;0,0;0,0;0;0,8;76;-0.05;30;0,0;0;1684
Niklas Wiemann;D (LC);26;190K € - 1,9M €;3. Liga;Germany;4,4;14,4;33%;0,1;22%;0;0,0;0,2;0,0;89%;7,1;0;1,6;1,8;0,4;1,0;0,1;0,2;0;58,5;5,4;6,5;0,2;0,0;19;0,2;0,5;0,3;0,5;0,1;10,7;0,0;7,7;0,0;0,2;5,5;0,0;0,2;75;1,2;72;-0.39;23;0,1;0;1710
Tolcay Ciğerci;M (C), AM (RC);30;400K € - 1,3M €;3. Liga;Germany;0,8;4,9;53%;0,1;20%;0;0,0;1,2;0,5;88%;10,7;0;0,5;7,1;2,1;1,1;1,1;1,1;0;39,7;2,4;16,1;1,8;0,4;15;0,2;2,1;0,1;0,1;0,4;12,5;0,3;3,4;0,1;0,8;1,2;0,1;6,5;12;0,0;35;1.63;21;0,3;0;1280
Lukas Klünter;D (RC), WB (R);29;425K € - 1,4M €;3. Liga;Germany;3,1;11,3;65%;0,1;6%;0;0,0;1,8;0,4;81%;21,4;0;1,4;10,9;3,4;2,3;0,4;0,6;0;49,8;6,7;22,9;1,8;4,1;39;0,8;1,0;0,1;0,5;0,1;13,4;0,1;4,2;0,1;9,0;2,2;0,1;9,0;9;0,4;53;-0.41;48;0,1;0;1527
Lex-Tyger Lobinger;ST (C);26;550K € - 1,9M €;3. Liga;Germany;1,2;2,9;61%;0,1;33%;0;0,0;1,2;0,3;87%;4,8;0;0,1;1,0;0,3;0,3;0,9;1,9;0;28,8;1,0;5,4;1,2;0,4;3;0,1;3,1;0,2;0,2;1,0;11,1;0,5;11,5;0,1;0,3;5,0;0,3;0,3;25;0,0;44;5.93;3;0,5;0;1039
Christian Viet;DM, M/AM (C);26;400K € - 1,3M €;3. Liga;Germany;2,2;5,3;48%;0,0;10%;0;0,0;1,5;0,5;85%;11,2;0;0,3;4,6;0,7;0,3;0,5;0,7;0;50,0;3,3;13,1;1,6;1,7;4;0,4;1,5;0,3;0,4;0,1;12,8;0,1;3,3;0,2;1,3;1,0;0,2;1,8;30;0,1;30;-2.3;8;0,3;0;1265
